Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By
135219691,validation for email,staff,,,,feature,3,accepted,"Nov 30, 2016","Dec 4, 2016",,Yong Kuan Wah,,https://www.pivotaltracker.com/story/show/135219691,Yong Kuan Wah
135322685,allow user select the position,staff,,,,feature,1,accepted,"Dec 1, 2016","Dec 4, 2016",,Yong Kuan Wah,"As a user, i can select my position so that other people can know my position",https://www.pivotaltracker.com/story/show/135322685,Yong Kuan Wah
